id,name,score1,score2
1,Student_1,56,82
2,Student_2,85,59
3,Student_3,61,68
4,Student_4,76,55
5,Student_5,71,50
6,Student_6,76,92
7,Student_7,57,66
8,Student_8,90,92
9,Student_9,59,72
10,Student_10,65,81
11,Student_11,72,65
12,Student_12,53,75
13,Student_13,64,74
14,Student_14,84,71
15,Student_15,99,58
16,Student_16,70,84
17,Student_17,62,83
18,Student_18,51,95
19,Student_19,72,92
20,Student_20,50,53
21,Student_21,59,50
22,Student_22,65,60
23,Student_23,90,56
24,Student_24,75,68
25,Student_25,93,98
26,Student_26,94,71
27,Student_27,99,79
28,Student_28,91,52
29,Student_29,60,68
30,Student_30,64,62
31,Student_31,72,88
32,Student_32,64,91
33,Student_33,79,85
34,Student_34,69,73
35,Student_35,64,78
36,Student_36,74,50
37,Student_37,55,84
38,Student_38,93,73
39,Student_39,90,80
40,Student_40,81,97
41,Student_41,70,62
42,Student_42,86,67
43,Student_43,63,94
44,Student_44,51,89
45,Student_45,94,80
46,Student_46,79,58
47,Student_47,50,77
48,Student_48,68,96
49,Student_49,77,90
50,Student_50,86,80
51,Student_51,61,71
52,Student_52,76,63
53,Student_53,84,89
54,Student_54,58,76
55,Student_55,63,50
56,Student_56,69,87
57,Student_57,53,90
58,Student_58,91,72
59,Student_59,72,76
60,Student_60,67,52
61,Student_61,52,76
62,Student_62,51,62
63,Student_63,93,81
64,Student_64,65,100
65,Student_65,98,79
66,Student_66,95,53
67,Student_67,98,52
68,Student_68,66,96
69,Student_69,55,55
70,Student_70,50,66
71,Student_71,98,63
72,Student_72,61,70
73,Student_73,96,64
74,Student_74,98,57
75,Student_75,57,94
76,Student_76,67,63
77,Student_77,53,65
78,Student_78,68,74
79,Student_79,75,87
80,Student_80,55,96
81,Student_81,96,55
82,Student_82,95,92
83,Student_83,71,53
84,Student_84,76,77
85,Student_85,52,63
86,Student_86,84,80
87,Student_87,84,95
88,Student_88,65,66
89,Student_89,59,56
90,Student_90,72,62
91,Student_91,71,67
92,Student_92,58,95
93,Student_93,56,88
94,Student_94,76,55
95,Student_95,55,80
96,Student_96,93,53
97,Student_97,91,65
98,Student_98,86,68
99,Student_99,54,56
100,Student_100,80,93
101,Student_101,62,60
102,Student_102,53,70
103,Student_103,65,88
104,Student_104,80,89
105,Student_105,63,69
106,Student_106,87,57
107,Student_107,98,62
108,Student_108,74,78
109,Student_109,61,59
110,Student_110,97,50
111,Student_111,54,56
112,Student_112,87,99
113,Student_113,90,87
114,Student_114,57,78
115,Student_115,70,57
116,Student_116,81,64
117,Student_117,85,69
118,Student_118,63,59
119,Student_119,88,55
120,Student_120,70,63
121,Student_121,99,57
122,Student_122,61,74
123,Student_123,83,51
124,Student_124,55,72
125,Student_125,100,99
126,Student_126,85,86
127,Student_127,80,51
128,Student_128,100,92
129,Student_129,78,69
130,Student_130,85,96
131,Student_131,91,97
132,Student_132,65,55
133,Student_133,85,89
134,Student_134,77,78
135,Student_135,58,65
136,Student_136,64,72
137,Student_137,51,99
138,Student_138,77,76
139,Student_139,61,93
140,Student_140,77,87
141,Student_141,68,83
142,Student_142,80,53
143,Student_143,60,63
144,Student_144,76,69
145,Student_145,81,67
146,Student_146,86,54
147,Student_147,67,67
148,Student_148,55,51
149,Student_149,69,63
150,Student_150,80,92
151,Student_151,73,100
152,Student_152,91,80
153,Student_153,53,85
154,Student_154,57,75
155,Student_155,89,53
156,Student_156,76,60
157,Student_157,73,88
158,Student_158,95,73
159,Student_159,92,68
160,Student_160,52,79
161,Student_161,79,73
162,Student_162,50,92
163,Student_163,87,70
164,Student_164,84,94
165,Student_165,66,68
166,Student_166,63,89
167,Student_167,63,77
168,Student_168,69,61
169,Student_169,95,99
170,Student_170,85,67
171,Student_171,65,88
172,Student_172,68,100
173,Student_173,55,67
174,Student_174,72,65
175,Student_175,94,82
176,Student_176,51,62
177,Student_177,99,86
178,Student_178,62,86
179,Student_179,52,88
180,Student_180,90,93
181,Student_181,87,51
182,Student_182,89,67
183,Student_183,73,94
184,Student_184,72,60
185,Student_185,61,66
186,Student_186,52,84
187,Student_187,76,57
188,Student_188,68,72
189,Student_189,72,97
190,Student_190,70,84
191,Student_191,77,67
192,Student_192,67,74
193,Student_193,86,66
194,Student_194,62,50
195,Student_195,53,55
196,Student_196,93,96
197,Student_197,69,75
198,Student_198,98,77
199,Student_199,69,50
200,Student_200,75,54
201,Student_201,67,85
202,Student_202,95,62
203,Student_203,74,73
204,Student_204,88,74
205,Student_205,80,96
206,Student_206,57,72
207,Student_207,54,94
208,Student_208,87,70
209,Student_209,59,53
210,Student_210,55,91
211,Student_211,71,65
212,Student_212,51,83
213,Student_213,67,87
